,Ticker,Denominação social,Nome de pregão,CNPJ
,ENMT4,Energisa Mt,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199
,EPAR3,Embpar S/A,EMBPAR PARTICIPACOES S.A.,42331462000131
,EQMA3B,Eqtl Maranhao,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06272793000184
,EQMA5B,Eqtl Maranhao,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06272793000184
,EQMA6B,Eqtl Maranhao,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06272793000184
,EQPA3,Eqtl Para,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04895728000180
,EQPA5,Eqtl Para,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04895728000180
,EQPA6,Eqtl Para,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04895728000180
,EQPA7,Eqtl Para,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04895728000180
,EQTL3,Equatorial,EQUATORIAL ENERGIA S.A.,03220438000173
,ESPA3,Espacolaser,MPM CORPÓREOS S.A.,26659061000159
,ESTR3,Estrela,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61082004000150
,ESTR4,Estrela,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61082004000150
,ETER3,Eternit,ETERNIT S.A.,61092037000181
,EUCA3,Eucatex,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166
,EUCA4,Eucatex,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166
,EUFA3,Elfa,Elfa Medicamentos S.A.,61190096000192
,EVEN3,Even,EVEN CONSTRUTORA E INCORPORADORA S.A.,43470988000165
,EZTC3,Eztec,EZ TEC EMPREEND. E PARTICIPACOES S.A.,08312229000173
